state_name,white_pop,hispanic_pop,black_pop,female_pop,year,state,population_total,pct_black,pct_white,pct_hispanic,pct_female,pct_male
INDIANA,5539927,472419,637277,3395905,2018,IN,6695497,0.0951799395922364,0.827410870320754,0.0705577196136448,0.507192371230993,0.492807628769007
IOWA,2846099,191473,115137,1591257,2018,IA,3148618,0.0365674718241463,0.90392006905887,0.0608117593178976,0.505382679003931,0.494617320996069
KANSAS,2446823,348443,171141,1461765,2018,KS,2911359,0.0587838875246921,0.840440151832873,0.119683968895626,0.502090260939994,0.497909739060006
KENTUCKY,3875023,161506,354761,2269381,2018,KY,4461153,0.0795222670013784,0.868614683244444,0.036202748482287,0.508698311848977,0.491301688151023
LOUISIANA,2877115,239954,1509407,2383448,2018,LA,4659690,0.323928630445373,0.617447727209321,0.0514957003577491,0.511503554957519,0.488496445042481
MAINE,1261453,22411,18954,682670,2018,ME,1339057,0.0141547372516629,0.942045782965176,0.0167364047983021,0.509813995968805,0.490186004031195
MARYLAND,3305047,628435,1810885,3112368,2018,MD,6035802,0.30002392391268,0.54757379383883,0.104117895186091,0.515651109827658,0.484348890172342
MASSACHUSETTS,5335175,846780,537523,3551262,2018,MA,6882635,0.0780984317779455,0.775164599023484,0.12303136807342,0.515974187211729,0.484025812788271
MICHIGAN,7825285,517381,1376751,5069099,2018,MI,9984072,0.137894738739865,0.783776899846075,0.051820639915257,0.507718594176805,0.492281405823195
MINNESOTA,4629375,308013,367653,2817199,2018,MN,5606249,0.0655791421322885,0.825752655652648,0.0549410131444394,0.502510502120045,0.497489497879955
MISSISSIPPI,1735455,87126,1135599,1539701,2018,MS,2981020,0.380943100012747,0.582168184044388,0.029226908910373,0.516501398850058,0.483498601149942
MISSOURI,5035197,253474,704327,3123287,2018,MO,6121623,0.115055598817503,0.822526477047019,0.0414063394625902,0.510205708518803,0.489794291481197
MONTANA,941438,41605,5056,527523,2018,MT,1060665,0.00476682081524327,0.887592218089595,0.039225391617523,0.497351190055296,0.502648809944705
NEBRASKA,1666990,214483,91221,968055,2018,NE,1925614,0.0473724225104304,0.865692708922972,0.111384213035427,0.502725364481147,0.497274635518853
