state_name,year,population_total
FLORIDA,2003,16999181
GEORGIA,2003,8676460
HAWAII,2003,1248755
IDAHO,2003,1367034
ILLINOIS,2003,12649087
INDIANA,2003,6199571
IOWA,2003,2941976
KANSAS,2003,2724786
KENTUCKY,2003,4118189
LOUISIANA,2003,4493665
MAINE,2003,1309205
MARYLAND,2003,5512310
MASSACHUSETTS,2003,6420357
MICHIGAN,2003,10082364
MINNESOTA,2003,5064172
MISSISSIPPI,2003,2882594
MISSOURI,2003,5719204
MONTANA,2003,918157
NEBRASKA,2003,1737475
NEVADA,2003,2242207
NEW HAMPSHIRE,2003,1288705
NEW MEXICO,2003,1878562
NEW YORK,2003,19212425
NORTH CAROLINA,2003,8421190
NORTH DAKOTA,2003,633400
OHIO,2003,11437680
OKLAHOMA,2003,3506469
OREGON,2003,3564330
PENNSYLVANIA,2003,12370761
RHODE ISLAND,2003,1076084
SOUTH CAROLINA,2003,4148744
SOUTH DAKOTA,2003,764905
TENNESSEE,2003,5845208
TEXAS,2003,22103374
UTAH,2003,2352119
VERMONT,2003,619343
VIRGINIA,2003,7365284
WEST VIRGINIA,2003,1811440
WISCONSIN,2003,5474290
WYOMING,2003,502111
NEW JERSEY,2003,8642412
WASHINGTON,2003,6131298
ALABAMA,2004,4525375
ALASKA,2004,657755
ARIZONA,2004,5739879
ARKANSAS,2004,2750000
CALIFORNIA,2004,35842038
COLORADO,2004,4601821
CONNECTICUT,2004,3498966
DELAWARE,2004,830069
FLORIDA,2004,17385430
GEORGIA,2004,8918129
HAWAII,2004,1262124
IDAHO,2004,1395140
ILLINOIS,2004,12712016
INDIANA,2004,6226537
IOWA,2004,2952904
KANSAS,2004,2733697
KENTUCKY,2004,4141835
LOUISIANA,2004,4506685
MAINE,2004,1314985
MARYLAND,2004,5561332
MASSACHUSETTS,2004,6407382
MICHIGAN,2004,10104206
MINNESOTA,2004,5096546
MISSISSIPPI,2004,2900768
MISSOURI,2004,5759532
MONTANA,2004,926920
NEBRASKA,2004,1747704
NEVADA,2004,2332898
NEW HAMPSHIRE,2004,1299169
NEW MEXICO,2004,1903006
NEW YORK,2004,19280727
NORTH CAROLINA,2004,8540468
NORTH DAKOTA,2004,636308
OHIO,2004,11450143
OKLAHOMA,2004,3523546
OREGON,2004,3591363
PENNSYLVANIA,2004,12394471
RHODE ISLAND,2004,1079916
SOUTH CAROLINA,2004,4197892
SOUTH DAKOTA,2004,770621
TENNESSEE,2004,5893298
TEXAS,2004,22471549
UTAH,2004,2420708
VERMONT,2004,621233
VIRGINIA,2004,7481332
WEST VIRGINIA,2004,1812548
WISCONSIN,2004,5503533
WYOMING,2004,505887
NEW JERSEY,2004,8685166
WASHINGTON,2004,6207046
ALABAMA,2005,4548327
ALASKA,2005,663253
ARIZONA,2005,5953007
ARKANSAS,2005,2775708
CALIFORNIA,2005,36154147
COLORADO,2005,4663295
CONNECTICUT,2005,3500701
DELAWARE,2005,841741
FLORIDA,2005,17768191
GEORGIA,2005,9132553
HAWAII,2005,1273278
IDAHO,2005,1429367
ILLINOIS,2005,12765427
INDIANA,2005,6266019
IOWA,2005,2965524
KANSAS,2005,2748172
KENTUCKY,2005,4172608
LOUISIANA,2005,4507331
MAINE,2005,1318220
MARYLAND,2005,5589599
MASSACHUSETTS,2005,6433367
MICHIGAN,2005,10100833
MINNESOTA,2005,5126739
MISSISSIPPI,2005,2908496
